,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
35,2tSDwInMbSGmUySTeUgO5e,Love Like That,Lauv,['Lauv'],0.679,0.481,3,-9.045,1,0.208,1.02e-05,0.284,0.486,80.011,184557,4,62,8,617
36,1jXKRARVJQFG3jTvZEgxsP,Bedroom Ceiling,Sody,['Sody'],0.49,0.416,6,-7.702,1,0.728,0.0,0.0694,0.236,125.928,180086,4,117,10,659
37,5dF24wkOEPkyeLRzw6qDBL,Die for You,Dirty Blond,['Dirty Blond'],0.46,0.253,6,-7.921,1,0.807,0.0,0.118,0.357,135.82,191321,4,105,8,502
38,5IMMISEvjmRxNxcTbUj7KN,Everybody's Got Somebody,Sam Fischer,['Sam Fischer'],0.574,0.59,7,-7.842,1,0.186,0.0,0.493,0.409,139.329,190870,4,108,9,660
39,2IRbE07lRmXCC6jrUQHINL,Changes,Jack Vallier,['Jack Vallier'],0.631,0.485,7,-8.774,0,0.17,2.23e-05,0.0772,0.0999,99.892,180107,4,73,10,634
40,74I76sDq0rPJV3FP4fq44d,Overused (feat. gnash),Clara Mae,"['Clara Mae', 'gnash']",0.503,0.525,0,-7.79,1,0.647,0.0,0.104,0.681,115.6,161196,4,90,9,566
41,7xWIEXBRkxD30V28lTjVJg,Love You Twice,Lilla Vargen,['Lilla Vargen'],0.497,0.118,7,-11.996,1,0.864,4.13e-05,0.116,0.164,95.113,204736,3,102,8,607
42,5t8nGUXKPnNkUJ3oJkQVIP,Forever (To Feel Like Tonight),April,['April'],0.552,0.639,7,-10.425,1,0.0692,0.125,0.112,0.0541,99.952,219053,4,88,8,763
43,6cnurFx9S8dHnzEwfvEdLF,Choices,Benedict Cork,['Benedict Cork'],0.405,0.155,0,-12.775,1,0.921,1.2e-06,0.116,0.152,68.694,188800,4,52,7,505
44,4f4cfvGeRK3t2rNZcB4ybd,Rescue Me,James Gillespie,['James Gillespie'],0.56,0.712,10,-7.862,0,0.355,1.83e-05,0.212,0.375,80.919,196027,4,65,10,755
45,25XifMcAWmG4K6g6QB2fY9,Somebody Else,Navvy,['Navvy'],0.687,0.357,6,-8.216,1,0.0782,0.0,0.301,0.404,154.0,217690,4,138,10,743
46,6bIb3cENmrDlWRZgGfsr8d,Room to breathe,ROE,['ROE'],0.421,0.212,6,-12.271,1,0.674,0.0,0.216,0.223,111.475,204375,4,95,10,603
47,09svEvkmTi9vw4kWRyBC6X,Slow Motion,Charlotte Lawrence,['Charlotte Lawrence'],0.665,0.61,0,-7.655,0,0.423,0.0,0.127,0.473,127.976,183850,4,97,10,614
48,28WzLDIBpcD5UhWIOktTrr,Elsewhere,Minke,['Minke'],0.549,0.186,0,-13.781,1,0.926,0.0004,0.151,0.199,110.152,272727,4,121,13,740
49,4wed9fstdS4hsJl2GpF0v0,Don't Feel,Tiz McNamara,['Tiz McNamara'],0.339,0.0583,9,-13.061,0,0.983,0.000264,0.104,0.213,178.931,209373,3,202,7,400
50,6f0uPbLg8inuvKdhs4actG,Remember Me Well,Christy,['Christy'],0.543,0.214,9,-13.24,1,0.972,2.03e-06,0.174,0.308,106.008,173027,4,74,7,553
51,5kg8GtzTnFQJXtUOHaRsJ8,Dear Life,Mathilda Homer,['Mathilda Homer'],0.618,0.408,0,-7.267,0,0.744,2.64e-06,0.0931,0.213,107.98,212671,4,92,11,649
52,4UwI05z2cvRJpChY8qmOop,Crawl,Blakey,['Blakey'],0.707,0.492,4,-7.294,1,0.63,0.0,0.434,0.693,112.017,188571,5,86,6,759
53,7wDn727BWO03K7A4kNoVtw,Charlotte,Sody,['Sody'],0.363,0.339,0,-10.208,1,0.622,0.000107,0.0968,0.0484,178.405,216624,3,195,9,748
54,1DLCl1vO001CvNoAFtxhNk,Alone In My Room (Gone),GRACEY,['GRACEY'],0.638,0.456,8,-8.557,1,0.623,6.35e-06,0.0789,0.348,102.932,214559,4,91,10,696
55,6BjEW9LWLesnpDUDkUGVbL,The Thing Is,Hannah Trigwell,['Hannah Trigwell'],0.467,0.142,1,-14.308,1,0.934,0.0,0.142,0.278,139.343,173095,4,98,7,557
56,0C0ESa1ZZ5taXaYUxwnvx9,Warped Window,Anna Mieke,['Anna Mieke'],0.514,0.0533,8,-16.276,1,0.932,1.16e-05,0.113,0.176,113.861,295266,4,126,10,786
57,5dCbFy9uDWZ2l0J1JmBLT5,Baby Come Home,Olivia Dean,['Olivia Dean'],0.549,0.285,6,-10.175,0,0.792,7.38e-05,0.111,0.176,81.037,188321,4,62,9,563
58,0CFf5n5yNQs8cfjsPN0Psi,Girl,SAYGRACE,['SAYGRACE'],0.768,0.41,6,-7.615,0,0.502,0.0,0.102,0.307,115.994,217374,4,104,10,796
59,7ooqBZQloVHOGMVmiSccTo,Sad Girl Summer - emo version,Maisie Peters,['Maisie Peters'],0.428,0.443,9,-9.392,0,0.47,8.16e-05,0.136,0.413,167.535,167990,4,95,9,695
