,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
77,4gTwPFGhIIlYtlo59jbVUB,High,Young Rising Sons,['Young Rising Sons'],0.646,0.85,7,-5.145,1,0.028,7.21e-05,0.281,0.518,116.999,165720,4,80,9,598
78,3E7HFO84HdWVJXzqKE82xO,I_feel_good,FATCAT,['FATCAT'],0.7,0.903,1,-5.811,1,0.013,0.0,0.194,0.96,159.95,201418,4,132,11,892
79,6pxWv6GV35VGmcPf5dh6CH,Proud Mary,Creedence Clearwater Revival,['Creedence Clearwater Revival'],0.699,0.641,2,-7.564,1,0.13,0.000218,0.0601,0.728,120.745,187213,4,93,12,672
80,1gStng1TuTLt0SaISWL14r,Smaller,Erik Hassle,['Erik Hassle'],0.405,0.728,7,-4.76,1,0.415,0.0,0.0777,0.342,188.701,205093,4,157,8,654
81,0gzqZ9d1jIKo9psEIthwXe,Beautiful Day,U2,['U2'],0.536,0.928,11,-6.492,0,0.0154,0.00134,0.2,0.389,136.258,248400,4,137,8,904
82,7zkDEBSxkcBVsStS4qBFpK,Lisztomania,Phoenix,['Phoenix'],0.635,0.786,0,-6.46,1,0.0349,0.00767,0.497,0.305,97.54,241547,4,98,8,1093
83,1FHNctV68GUNLgXclG2DtR,Dancing in the Moonlight,Toploader,['Toploader'],0.639,0.845,10,-3.333,1,0.0528,0.0,0.336,0.871,119.485,233373,4,113,7,841
84,5yNEdBlZMxpcVtGKz5NFk5,Side Effects (feat. Emily Warren),The Chainsmokers,"['The Chainsmokers', 'Emily Warren']",0.673,0.71,8,-6.744,1,0.00277,0.0,0.55,0.54,110.017,173613,4,78,6,685
85,4YUlGNZfYA6EUE5KDsGqpC,You Can't Hurry Love,Phil Collins,['Phil Collins'],0.639,0.923,7,-5.708,1,0.0674,0.0,0.0879,0.761,97.874,175347,4,69,7,673
86,4fCHoHmwmX8LgAp6A1GULJ,LA Calling,Crystal Fighters,['Crystal Fighters'],0.574,0.887,11,-6.172,1,0.0607,2.41e-06,0.334,0.622,136.057,229244,4,127,13,929
87,3XIEWK1V9n25PS9Vb6axj5,Born to Be Alive,Patrick Hernandez,['Patrick Hernandez'],0.704,0.867,2,-5.808,1,0.0846,0.0,0.206,0.809,131.467,188133,4,103,9,837
88,4ofwffwvvnbSkrMSCKQDaC,Shotgun,George Ezra,['George Ezra'],0.672,0.735,5,-4.733,1,0.286,0.0,0.242,0.754,115.741,201287,4,94,6,693
89,45s88Xopo6KvHc0PQ05aGg,My Generation - Mono Version,The Who,['The Who'],0.299,0.787,0,-7.93,0,0.14,0.0,0.292,0.716,94.798,198867,4,75,11,666
90,2fTsFCKRFQ5M0igJgabnLA,Price Tag,Jessie J,"['Jessie J', 'B.o.B']",0.636,0.831,5,-3.945,1,0.0294,3.85e-06,0.272,0.668,175.015,223053,4,158,10,924
91,3eKkMH08IN5qbjp8wv6cV8,If You Wanna Be Happy,Jimmy Soul,['Jimmy Soul'],0.639,0.875,10,-8.231,1,0.611,1.18e-05,0.204,0.873,93.242,143229,4,54,7,543
92,5WSdMcWTKRdN1QYVJHJWxz,Girls,The 1975,['The 1975'],0.657,0.913,11,-4.984,1,0.00392,0.00149,0.466,0.906,108.036,254620,4,113,11,1156
93,4jKojTEsrJtUU5rNp3gbGQ,Come On Eileen,Dexys Midnight Runners,['Dexys Midnight Runners'],0.435,0.652,0,-8.495,1,0.519,0.0,0.129,0.806,108.097,273933,4,126,11,1019
94,3zdI8HDPKoMsCRkmpQTblk,San Francisco,The Mowgli's,"[""The Mowgli's""]",0.363,0.893,11,-4.81,1,0.0131,0.0,0.0825,0.37,93.041,172893,4,65,9,534
95,5CPayysVhU2BlNXw2kG59L,Got My Mind Set On You,Damien Leith,['Damien Leith'],0.674,0.84,1,-3.879,0,0.0338,0.000441,0.0941,0.875,150.011,227800,4,141,11,777
96,76EeScTnI2sCjDY0SfEoSb,Work This Body,WALK THE MOON,['WALK THE MOON'],0.421,0.831,4,-5.128,1,0.0283,0.0,0.464,0.488,134.027,175907,4,96,9,657
97,7sXxvOVFtMr31xj0kX9BFV,Hit The Road Jack,Ray Charles,['Ray Charles'],0.593,0.752,8,-6.617,0,0.0841,0.00308,0.197,0.935,172.087,129907,4,90,6,471
98,0mIPUewslxddIZHnWuPnMD,Song Away,Hockey,['Hockey'],0.639,0.72,6,-4.253,1,0.0276,0.0,0.113,0.921,131.797,198320,4,106,7,814
99,5RKZ9zCtLjBLTea7qkSFqr,I'm a Believer,The Monkees,['The Monkees'],0.519,0.772,0,-6.784,1,0.534,1.21e-05,0.271,0.961,79.618,166907,4,53,8,636
